license_text,yolo_confidence,ocr_confidence
CX61FWA,0.75,"[0.390164315700531, 0.5486767888069153, 0.9467024207115173, 0.9791994690895081, 0.9997254014015198, 0.731552243232727, 0.9859648942947388, 0.999671459197998, 0.9999983310699463]"
CX61FMA,0.74,"[0.5455654263496399, 0.8779839277267456, 0.9994860887527466, 0.9757577776908875, 0.9999377727508545, 0.9426796436309814, 0.9806133508682251, 0.999984622001648, 0.9999997615814209]"
BX61FMA,0.74,"[0.7668224573135376, 0.9998273849487305, 0.9971994161605835, 0.9695063233375549, 0.9999188184738159, 0.9985378980636597, 0.9999943971633911, 0.9999752044677734, 0.999997615814209]"
EX61FNA,0.76,"[0.9999920129776001, 0.9999821186065674, 0.9999936819076538, 0.999853253364563, 0.9999963045120239, 0.7358519434928894, 0.9999620914459229, 0.9999957084655762, 1.0]"
EX61FKA,0.71,"[0.9999852180480957, 0.9997451901435852, 0.9998500347137451, 0.9988321661949158, 0.999975323677063, 0.32769474387168884, 0.9988589286804199, 0.9999977350234985, 1.0]"
X88N888,0.65,"[0.25802239775657654, 0.4028232991695404, 0.20398247241973877, 0.16834479570388794, 0.35515761375427246, 0.27107948064804077, 0.18231676518917084, 0.589414656162262, 0.9631485939025879]"
Y833888,0.70,"[0.3415887951850891, 0.211339071393013, 0.2766675651073456, 0.12679117918014526, 0.28769025206565857, 0.6346837282180786, 0.5071710348129272, 0.35644644498825073, 0.866759717464447]"
2039886,0.71,"[0.2849586308002472, 0.26183897256851196, 0.1890173852443695, 0.3537234961986542, 0.7210178375244141, 0.4051814377307892, 0.35582298040390015, 0.4762752950191498, 0.956112265586853]"
3323383,0.73,"[0.5798821449279785, 0.676928699016571, 0.42752358317375183, 0.3277144134044647, 0.31378141045570374, 0.4140217900276184, 0.21910974383354187, 0.7387793660163879, 0.9786056876182556]"
3023588,0.71,"[0.6562151312828064, 0.5570136308670044, 0.9665266871452332, 0.2785174250602722, 0.27353131771087646, 0.6016095876693726, 0.3982529044151306, 0.4877825379371643, 0.9795676469802856]"
5834388,0.75,"[0.22921884059906006, 0.2868393361568451, 0.4442986249923706, 0.27783483266830444, 0.2728904187679291, 0.7582541108131409, 0.53190678358078, 0.3821873962879181, 0.997281551361084]"
